route_short_name,stop_sequence,stop_name,stop_lat,stop_lon
R63,3,La Pobla de Claramunt,41.55461094,1.677906247
R63,4,Capellades,41.52153533,1.695130725
R63,5,Vallbona d'Anoia,41.52025979,1.709010719
R63,6,Piera,41.52591339,1.75450443
R63,7,Masquefa,41.502884,1.812625072
R63,8,Can Parellada,41.50222357,1.830813063
R63,9,La Beguda,41.5017639,1.838788972
R63,10,Sant Esteve Sesrovires,41.49767605,1.8724438
R63,11,Martorell Enllaç,41.48396936,1.918677519
R63,12,Martorell Central,41.4792845,1.925294975
R63,13,Martorell Vila,41.4758714,1.938956855
R63,14,El Palau,41.45588074,1.9622947
R63,15,Sant Andreu de la Barca,41.44648001,1.973673502
R63,16,Pallejà,41.42078685,1.995677605
R63,17,Quatre Camins,41.40629238,2.001715183
R63,18,Can Ros,41.39882061,2.005346458
R63,19,Sant Vicenç dels Horts,41.38810839,2.012398952
R63,20,Santa Coloma de Cervelló,41.37064766,2.023520241
R63,21,Colònia Güell,41.36386336,2.031859416
R63,22,Molí Nou - Ciutat Cooperativa,41.35751473,2.035276936
R63,23,Sant Boi,41.34856143,2.042855988
R63,24,Cornellà Riera,41.35147828,2.071263627
R63,25,Almeda,41.35306747,2.085251402
R63,26,L'Hospitalet Av. Carrilet,41.35793378,2.102709519
R63,27,Sant Josep,41.36070098,2.10991665
R63,28,Gornal,41.35488589,2.117431558
R63,29,Europa | Fira,41.35655892,2.124199344
R63,30,Ildefons Cerdà,41.36090867,2.130023266
R63,31,Magòria La Campana,41.36748768,2.138879447
R63,32,Barcelona - Plaça Espanya,41.3747199,2.148458333
RL1,1,Balaguer,41.789215,0.814761
RL1,1,Lleida,41.620098,0.633672
RL1,2,Vallfogona de Balaguer,41.755094,0.805247
RL1,2,Polígon industrial del Segre,41.622808,0.652806
RL1,3,Térmens,41.717644,0.764899
RL1,3,Alcoletge,41.654738,0.686458
RL1,4,Vilanova de la Barca,41.687347,0.727903
RL1,5,Alcoletge,41.654738,0.686458
RL1,5,Térmens,41.717644,0.764899
RL1,6,Polígon industrial del Segre,41.622808,0.652806
RL1,6,Vallfogona de Balaguer,41.755094,0.805247
RL1,7,Lleida,41.620098,0.633672
RL1,7,Balaguer,41.789215,0.814761
RL2,1,Lleida,41.620098,0.633672
RL2,1,La Pobla de Segur,42.239877,0.965917
RL2,2,Polígon industrial del Segre,41.622808,0.652806
RL2,2,Salàs de Pallars,42.206835,0.940463
RL2,3,Alcoletge,41.654738,0.686458
RL2,3,Tremp,42.167348,0.891057
RL2,4,Vilanova de la Barca,41.687347,0.727903
RL2,4,Palau de Noguera,42.147002,0.892435
RL2,5,Térmens,41.717644,0.764899
RL2,5,Guardia de Tremp,42.101399,0.88809
RL2,6,Vallfogona de Balaguer,41.755094,0.805247
RL2,6,Cellers-Llimiana,42.058631,0.882707
RL2,7,Balaguer,41.789215,0.814761
RL2,7,Àger,42.006741,0.851596
RL2,8,Gerb,41.823301,0.812079
RL2,8,Santa Linya,41.93156,0.852312
RL2,9,St. Llorenç de Montgai,41.866379,0.832571
RL2,9,Vilanova de la Sal,41.91207,0.830401
RL2,10,Vilanova de la Sal,41.91207,0.830401
RL2,10,St. Llorenç de Montgai,41.866379,0.832571
RL2,11,Santa Linya,41.93156,0.852312
RL2,11,Gerb,41.823301,0.812079
RL2,12,Àger,42.006741,0.851596
RL2,12,Balaguer,41.789215,0.814761
RL2,13,Cellers-Llimiana,42.058631,0.882707
RL2,13,Vallfogona de Balaguer,41.755094,0.805247
RL2,14,Guardia de Tremp,42.101399,0.88809
RL2,14,Térmens,41.717644,0.764899
RL2,15,Palau de Noguera,42.147002,0.892435
RL2,15,Vilanova de la Barca,41.687347,0.727903
RL2,16,Tremp,42.167348,0.891057
RL2,16,Alcoletge,41.654738,0.686458
